ticker,company_name,sector,industry,current_price,market_cap,financial_score,moat_score,risk_deduction,total_score,passing,dividend_yield
CTLT,CTLT,N/A,N/A,0.0,0,2.0,0.0,0,2.0,False,0.0
JNPR,JNPR,N/A,N/A,0.0,0,2.0,0.0,0,2.0,False,0.0
WBA,WBA,N/A,N/A,0.0,0,2.0,0.0,0,2.0,False,0.0
SJW,SJW,N/A,N/A,0.0,0,2.0,0.0,0,2.0,False,0.0
ANSS,ANSS,N/A,N/A,0.0,0,2.0,0.0,0,2.0,False,0.0
MRO,MRO,N/A,N/A,0.0,0,2.0,0.0,0,2.0,False,0.0
CATC,CATCo Reinsurance Opps C,N/A,N/A,0.0,0,2.0,0.0,0,2.0,False,0.0
DFS,DFS,N/A,N/A,0.0,0,2.0,0.0,0,2.0,False,0.0
PARA,PARA,N/A,N/A,0.0,0,2.0,0.0,0,2.0,False,0.0
SOF,Amplify Samsung SOFR ETF,N/A,N/A,0.0,0,2.0,0.0,0,2.0,False,4.4
HES,HES,N/A,N/A,0.0,0,2.0,0.0,0,2.0,False,0.0
BF.B,BF.B,N/A,N/A,0.0,0,2.0,0.0,0,2.0,False,0.0
